landmark_label,landmark_name
39,U0R
44,U0
47,U2E-R
48,U2E-L
49,U3T-R
50,U3T-L
51,U4BC-R
52,U4BC-L
57,U5LC-R
58,U5LC-L
59,U6MBC-R
60,U6MBC-L
65,U6DLC-R
66,U6DLC-L
67,U7MBC-R
68,U7MBC-L
73,U7DLC-R
74,U7DLC-L
