landmark_label,landmark_name
1,S
2,Gb
4,Rh
5,Fz-R
6,Fz-L
7,Ft-R
8,Ft-L
15,SOF-R
16,SOF-L
21,Ba
22,FMP
23,GFC-R
24,GFC-L
27,M-R
28,M-L
29,Po-R
32,Po-L
35,ANS
41,PNS
80,B
83,Me
95,Go-R
101,Go-L
