landmark_label,landmark_name
9,OrS-R
10,OrS-L
13,OrM-R
14,OrM-L
19,ION-R
20,ION-L
30,Zy-R
33,Zy-L
40,IC
78,MF-R
79,MF-L
82,Gn
90,COR-R
91,COR-L
92,RMA-R
94,Gos-R
97,Ag-R
98,RMA-L
100,Gos-L
103,Ag-L
104,L0
135,L7DBC-R
136,L7DBC-L
